Commodity_Group,Commodity,Variety,MSP,Price_Today,Price_1DayAgo,Price_2DaysAgo,Arrival_Today,Arrival_1DayAgo,Arrival_2DaysAgo
Cereals,Bajra(Pearl Millet/Cumbu),Bold,2775.0,2300.0,2750.0,2763.02,6.4,18.2,77.1
Cereals,Bajra(Pearl Millet/Cumbu),Deshi,2775.0,1850.0,2001.8,2054.97,2.5,14.8,22.12
Cereals,Bajra(Pearl Millet/Cumbu),Hybrid,2775.0,2384.38,2024.24,2629.84,686.5,82.5,151.8
Cereals,Bajra(Pearl Millet/Cumbu),Millet,2775.0,1910.0,1943.53,1935.05,16.25,45.94,30.62
Cereals,Bajra(Pearl Millet/Cumbu),Other,2775.0,2180.56,2740.24,2948.39,55.3,241.09,279.68
Cereals,Barley(Jau),Barley,1980.0,2270.0,2304.08,2345.48,0.25,21.79,56.44
Cereals,Barley(Jau),Dara,1980.0,2300.0,2314.3,2291.67,18.5,18.8,18.0
Cereals,Barley(Jau),Deshi,1980.0,2400.0,,,11.0,,
Cereals,Barley(Jau),Other,1980.0,2300.0,2194.6,1480.0,6.0,2.5,8.0
Cereals,Jowar(Sorghum),Jowar ( White),3699.0,2100.0,6293.63,6555.89,2.5,36.37,566.48
Cereals,Jowar(Sorghum),Jowar (Yellow),3699.0,2000.0,4321.76,7100.0,0.1,1.88,1.07
Cereals,Jowar(Sorghum),Other,3699.0,3900.0,5613.62,5414.66,0.6,86.8,95.5
Cereals,Maize,Hybrid,2400.0,1911.83,1751.01,1816.52,13.1,186.1,951.7
Cereals,Maize,Hybrid Yellow (Cattle Feed),2400.0,1510.0,2230.0,2021.76,39.0,45.0,59.9
Cereals,Maize,Local,2400.0,1543.47,1525.48,1552.11,1913.21,11707.62,24822.0
Cereals,Maize,Medium,2400.0,2173.0,,,72.5,,
Cereals,Maize,Other,2400.0,2124.68,1566.1,1707.72,39.25,116.0,426.55
Cereals,Maize,White (SAFED),2400.0,1800.0,,,29.5,,
Cereals,Maize,Yellow,2400.0,1598.9,1549.27,1731.94,1678.06,3318.28,11004.8
Cereals,Paddy(Common),Basmati,2369.0,3935.68,3923.15,3856.43,1337.14,3019.17,5073.69
Cereals,Paddy(Common),Common,2369.0,2221.86,2262.35,2313.47,1607.6,1516.56,4274.94
Cereals,Paddy(Common),D.B.,2369.0,3900.0,2369.12,2370.09,6.0,324526.02,40252.04
Cereals,Paddy(Common),Dhan,2369.0,3910.59,3817.74,3642.72,478.8,1789.69,2123.24
Cereals,Paddy(Common),Fine,2369.0,2509.17,2270.58,2635.78,18.0,45.2,2177.6
Cereals,Paddy(Common),I.R. 36,2369.0,2171.94,2388.92,2152.82,190.25,17351.6,177.45
Cereals,Paddy(Common),I.R.-64,2369.0,2369.0,2369.0,,0.0,0.0,
Cereals,Paddy(Common),MTU-1010,2369.0,2406.93,2388.35,2368.69,0.1,65398.74,5516.08
Cereals,Paddy(Common),Other,2369.0,2748.73,2615.94,3469.74,224.3,1171.31,30551.85
Cereals,Paddy(Common),Paddy,2369.0,3166.59,3258.83,3290.54,1646.19,26256.51,11141.63
Cereals,Paddy(Common),Paddy Coarse,2369.0,1921.15,2368.66,2367.54,26.0,616127.08,160654.28
Cereals,Paddy(Common),Puspa (MR 301),2369.0,3848.25,3831.46,3845.43,480.11,1689.13,3691.46
Cereals,Paddy(Common),Sarvati,2369.0,2450.0,2450.0,2450.0,47.0,51.0,37.0
Cereals,Paddy(Common),Super Ponni,2369.0,2370.0,2370.0,2370.0,51.0,50.0,48.0
Cereals,Ragi(Finger Millet),Other,4886.0,4886.0,5137.43,5184.1,0.02,0.42,0.32
Cereals,Wheat,Bansi,2425.0,2838.0,2771.0,2540.0,0.8,0.8,0.7
Cereals,Wheat,Dara,2425.0,2411.54,2468.18,2487.72,1586.5,3904.2,8775.9
Cereals,Wheat,Farmi,2425.0,2580.0,,,48.4,,
Cereals,Wheat,Kalyan,2425.0,2757.58,2499.1,2526.24,9.3,15.24,20.78
Cereals,Wheat,Local,2425.0,2347.62,2495.68,2472.74,51.44,288.03,414.45
Cereals,Wheat,Lokwan,2425.0,2420.0,2590.77,2688.87,25.18,207.14,505.6
Cereals,Wheat,Maharashtra 2189,2425.0,2714.29,2780.54,2632.94,7.0,8.4,28.5
Cereals,Wheat,Mill Quality,2425.0,2455.88,2504.67,2486.18,604.51,1716.6,3622.77
Cereals,Wheat,Other,2425.0,2632.81,2599.89,2801.66,174.5,1111.04,2149.98
Cereals,Wheat,Sharbati,2425.0,3650.0,3080.69,3327.48,0.3,299.64,356.28
Cereals,Wheat,Sonalika,2425.0,2650.0,2650.0,2588.22,2.0,11.3,43.7
Cereals,Wheat,Wheat,2425.0,2422.28,2516.17,2499.17,972.61,6771.85,12238.36
Fibre Crops,Cotton,170-CO2 (Unginned),7710.0,7730.0,,,5.5,,
Fibre Crops,Cotton,American,7710.0,7770.0,7650.26,7569.99,10.8,334.1,866.5
Fibre Crops,Cotton,Cotton (Unginned),7710.0,7800.0,7152.59,7563.51,18.0,595.56,675.78
Fibre Crops,Cotton,H-4(A) 27mm FIne,7710.0,7860.0,,7907.86,192.0,,383.7
Fibre Crops,Cotton,Long fiber,7710.0,7400.0,,7200.0,52.0,,8.5
Fibre Crops,Cotton,Medium Fiber,7710.0,7251.52,7313.18,7325.46,80.95,65.25,105.56
